,ts_code,trade_time,open,close,high,low,vol,amount,oi
0,IF2309.CFX,2023-08-25 09:30:00,3710.0,3710.0,3710.0,3710.0,236.0,262668000.0,185222.0
1,IF2309.CFX,2023-08-25 09:31:00,3712.2,3718.2,3718.8,3712.0,2260.0,2518684000.0,184543.0
2,IF2309.CFX,2023-08-25 09:32:00,3718.8,3715.0,3718.8,3712.2,1083.0,1206906800.0,183997.0
3,IF2309.CFX,2023-08-25 09:33:00,3715.0,3718.4,3718.6,3712.6,811.0,904100800.0,183577.0
4,IF2309.CFX,2023-08-25 09:34:00,3718.4,3714.6,3719.2,3714.6,712.0,793955500.0,183215.0
5,IF2309.CFX,2023-08-25 09:35:00,3714.4,3718.4,3721.2,3713.0,1114.0,1242525600.0,182733.0
6,IF2309.CFX,2023-08-25 09:36:00,3718.2,3721.2,3722.6,3715.0,1102.0,1229715700.0,182145.0
7,IF2309.CFX,2023-08-25 09:37:00,3721.2,3719.0,3721.8,3717.8,546.0,609265900.0,181911.0
8,IF2309.CFX,2023-08-25 09:38:00,3718.6,3716.4,3719.0,3716.2,484.0,539768960.0,181754.0
9,IF2309.CFX,2023-08-25 09:39:00,3717.0,3719.8,3720.2,3714.4,595.0,663430900.0,181502.0
10,IF2309.CFX,2023-08-25 09:40:00,3720.8,3719.6,3722.0,3717.6,667.0,744354240.0,181290.0
11,IF2309.CFX,2023-08-25 09:41:00,3719.8,3723.8,3724.0,3718.8,612.0,683266200.0,181099.0
12,IF2309.CFX,2023-08-25 09:42:00,3724.4,3720.0,3725.2,3720.0,604.0,674607700.0,180880.0
13,IF2309.CFX,2023-08-25 09:43:00,3720.0,3720.2,3721.4,3717.2,457.0,509918660.0,180720.0
14,IF2309.CFX,2023-08-25 09:44:00,3719.8,3717.8,3720.6,3717.2,384.0,428403650.0,180544.0
15,IF2309.CFX,2023-08-25 09:45:00,3717.8,3720.2,3720.2,3716.2,389.0,433920600.0,180362.0
16,IF2309.CFX,2023-08-25 09:46:00,3720.0,3720.4,3721.2,3717.8,410.0,457521730.0,180208.0
17,IF2309.CFX,2023-08-25 09:47:00,3720.4,3723.4,3724.6,3720.4,524.0,585233800.0,180074.0
18,IF2309.CFX,2023-08-25 09:48:00,3723.2,3721.2,3724.0,3721.2,335.0,374133800.0,179953.0
19,IF2309.CFX,2023-08-25 09:49:00,3721.2,3721.0,3721.6,3719.0,234.0,261186420.0,179896.0
20,IF2309.CFX,2023-08-25 09:50:00,3721.0,3720.2,3722.2,3718.4,229.0,255568670.0,179809.0
21,IF2309.CFX,2023-08-25 09:51:00,3720.2,3721.2,3722.4,3719.2,158.0,176365020.0,179756.0
22,IF2309.CFX,2023-08-25 09:52:00,3721.2,3721.0,3722.2,3720.2,208.0,232197730.0,179678.0
23,IF2309.CFX,2023-08-25 09:53:00,3721.0,3722.0,3724.2,3720.0,294.0,328316400.0,179557.0
24,IF2309.CFX,2023-08-25 09:54:00,3722.0,3720.6,3722.6,3720.0,230.0,256750140.0,179454.0
25,IF2309.CFX,2023-08-25 09:55:00,3721.0,3720.2,3722.6,3719.4,355.0,396250200.0,179352.0
26,IF2309.CFX,2023-08-25 09:56:00,3720.2,3723.0,3723.4,3720.0,358.0,399749760.0,179159.0
27,IF2309.CFX,2023-08-25 09:57:00,3723.0,3723.8,3725.2,3721.2,398.0,444600000.0,179020.0
28,IF2309.CFX,2023-08-25 09:58:00,3724.6,3722.4,3724.6,3722.0,273.0,304911100.0,178911.0
29,IF2309.CFX,2023-08-25 09:59:00,3722.4,3725.8,3726.8,3722.4,396.0,442536350.0,178776.0
30,IF2309.CFX,2023-08-25 10:00:00,3726.0,3728.8,3730.4,3725.4,745.0,833243500.0,178640.0
31,IF2309.CFX,2023-08-25 10:01:00,3728.8,3726.2,3728.8,3725.4,646.0,722217660.0,178444.0
32,IF2309.CFX,2023-08-25 10:02:00,3726.4,3723.6,3726.4,3723.2,430.0,480432000.0,178383.0
33,IF2309.CFX,2023-08-25 10:03:00,3723.6,3721.6,3724.6,3721.2,293.0,327252060.0,178356.0
34,IF2309.CFX,2023-08-25 10:04:00,3721.2,3720.8,3721.8,3720.0,344.0,383990100.0,178291.0
35,IF2309.CFX,2023-08-25 10:05:00,3720.8,3719.4,3721.0,3718.0,443.0,494299800.0,178246.0
36,IF2309.CFX,2023-08-25 10:06:00,3719.2,3717.0,3719.6,3716.0,493.0,549792500.0,178041.0
37,IF2309.CFX,2023-08-25 10:07:00,3716.8,3717.2,3718.4,3716.6,363.0,404834620.0,177926.0
38,IF2309.CFX,2023-08-25 10:08:00,3717.2,3717.6,3718.2,3716.2,230.0,256480260.0,177897.0
39,IF2309.CFX,2023-08-25 10:09:00,3717.6,3716.4,3719.0,3716.4,258.0,287763550.0,177900.0
40,IF2309.CFX,2023-08-25 10:10:00,3716.6,3720.0,3720.6,3716.2,423.0,471939170.0,177848.0
41,IF2309.CFX,2023-08-25 10:11:00,3719.4,3719.6,3721.6,3718.2,420.0,468726300.0,177896.0
42,IF2309.CFX,2023-08-25 10:12:00,3719.8,3723.0,3724.0,3719.2,372.0,415419700.0,177871.0
43,IF2309.CFX,2023-08-25 10:13:00,3722.6,3725.6,3727.0,3721.8,454.0,507341280.0,177747.0
44,IF2309.CFX,2023-08-25 10:14:00,3725.6,3723.2,3726.4,3723.0,357.0,398954270.0,177667.0
45,IF2309.CFX,2023-08-25 10:15:00,3723.2,3727.4,3727.4,3723.2,281.0,314082530.0,177590.0
46,IF2309.CFX,2023-08-25 10:16:00,3727.2,3728.6,3729.4,3724.6,415.0,464053920.0,177473.0
47,IF2309.CFX,2023-08-25 10:17:00,3728.4,3731.6,3732.0,3727.8,507.0,567374140.0,177356.0
48,IF2309.CFX,2023-08-25 10:18:00,3732.0,3729.6,3732.0,3728.2,314.0,351342000.0,177266.0
49,IF2309.CFX,2023-08-25 10:19:00,3729.4,3728.4,3731.2,3727.6,252.0,281924640.0,177211.0
50,IF2309.CFX,2023-08-25 10:20:00,3728.4,3727.6,3728.4,3726.2,237.0,265008960.0,177089.0
51,IF2309.CFX,2023-08-25 10:21:00,3727.8,3727.2,3727.8,3726.0,226.0,252694380.0,176988.0
52,IF2309.CFX,2023-08-25 10:22:00,3727.4,3731.0,3731.8,3725.6,736.0,823346900.0,176815.0
53,IF2309.CFX,2023-08-25 10:23:00,3730.8,3732.4,3733.0,3728.8,594.0,664797200.0,176759.0
54,IF2309.CFX,2023-08-25 10:24:00,3732.4,3729.8,3732.4,3728.4,237.0,265170000.0,176707.0
55,IF2309.CFX,2023-08-25 10:25:00,3729.8,3728.6,3730.4,3728.2,158.0,176778240.0,176676.0
56,IF2309.CFX,2023-08-25 10:26:00,3728.6,3724.8,3728.6,3724.0,359.0,401267940.0,176617.0
57,IF2309.CFX,2023-08-25 10:27:00,3724.8,3724.4,3725.8,3724.0,121.0,135204240.0,176610.0
58,IF2309.CFX,2023-08-25 10:28:00,3724.2,3722.8,3724.2,3721.8,266.0,297079400.0,176566.0
59,IF2309.CFX,2023-08-25 10:29:00,3723.2,3722.2,3724.4,3721.8,220.0,245686620.0,176523.0
60,IF2309.CFX,2023-08-25 10:30:00,3722.4,3723.8,3724.8,3722.0,176.0,196606800.0,176530.0
61,IF2309.CFX,2023-08-25 10:31:00,3723.8,3722.4,3723.8,3722.0,177.0,197680380.0,176518.0
62,IF2309.CFX,2023-08-25 10:32:00,3722.4,3725.8,3726.6,3722.2,337.0,376591740.0,176435.0
63,IF2309.CFX,2023-08-25 10:33:00,3725.8,3724.0,3725.8,3723.6,241.0,269291040.0,176377.0
64,IF2309.CFX,2023-08-25 10:34:00,3724.0,3727.4,3729.0,3724.0,214.0,239286850.0,176338.0
65,IF2309.CFX,2023-08-25 10:35:00,3727.2,3726.0,3728.4,3725.2,173.0,193425660.0,176301.0
66,IF2309.CFX,2023-08-25 10:36:00,3726.2,3726.0,3727.8,3724.6,111.0,124084020.0,176305.0
67,IF2309.CFX,2023-08-25 10:37:00,3726.0,3722.8,3726.0,3722.2,233.0,260249820.0,176263.0
68,IF2309.CFX,2023-08-25 10:38:00,3723.0,3722.4,3723.8,3721.6,193.0,215529360.0,176233.0
69,IF2309.CFX,2023-08-25 10:39:00,3722.6,3721.4,3723.4,3721.0,172.0,192047400.0,176194.0
70,IF2309.CFX,2023-08-25 10:40:00,3721.4,3721.2,3722.6,3721.0,139.0,155192290.0,176166.0
71,IF2309.CFX,2023-08-25 10:41:00,3721.2,3721.0,3722.6,3719.8,293.0,327034850.0,176078.0
72,IF2309.CFX,2023-08-25 10:42:00,3721.6,3721.6,3724.0,3721.2,222.0,247922160.0,176042.0
73,IF2309.CFX,2023-08-25 10:43:00,3721.6,3720.8,3722.6,3720.8,77.0,85969980.0,176036.0
74,IF2309.CFX,2023-08-25 10:44:00,3720.8,3722.2,3722.8,3719.6,152.0,169672020.0,176025.0
75,IF2309.CFX,2023-08-25 10:45:00,3722.2,3720.8,3723.2,3720.2,123.0,137314500.0,176027.0
76,IF2309.CFX,2023-08-25 10:46:00,3720.6,3720.2,3722.2,3719.8,158.0,176366880.0,175994.0
77,IF2309.CFX,2023-08-25 10:47:00,3720.0,3720.6,3721.6,3719.0,162.0,180807000.0,176022.0
78,IF2309.CFX,2023-08-25 10:48:00,3720.6,3724.0,3724.0,3720.0,224.0,250120500.0,176021.0
79,IF2309.CFX,2023-08-25 10:49:00,3724.0,3722.4,3724.6,3721.8,225.0,251346660.0,176007.0
80,IF2309.CFX,2023-08-25 10:50:00,3722.4,3723.2,3724.4,3721.8,141.0,157492560.0,176005.0
81,IF2309.CFX,2023-08-25 10:51:00,3723.2,3723.2,3724.0,3722.4,79.0,88242660.0,176002.0
82,IF2309.CFX,2023-08-25 10:52:00,3723.2,3725.8,3725.8,3723.2,199.0,222375120.0,175983.0
83,IF2309.CFX,2023-08-25 10:53:00,3725.8,3728.2,3728.8,3723.4,383.0,428221020.0,175924.0
84,IF2309.CFX,2023-08-25 10:54:00,3727.8,3724.6,3728.6,3724.2,162.0,181094460.0,175872.0
85,IF2309.CFX,2023-08-25 10:55:00,3724.6,3723.6,3724.6,3722.6,125.0,139633140.0,175853.0
86,IF2309.CFX,2023-08-25 10:56:00,3723.6,3722.2,3724.4,3722.0,173.0,193211520.0,175817.0
87,IF2309.CFX,2023-08-25 10:57:00,3722.2,3722.8,3723.2,3720.2,227.0,253439100.0,175738.0
88,IF2309.CFX,2023-08-25 10:58:00,3722.8,3722.4,3723.6,3722.0,83.0,92697900.0,175721.0
89,IF2309.CFX,2023-08-25 10:59:00,3722.4,3720.6,3722.6,3720.2,149.0,166335540.0,175700.0
90,IF2309.CFX,2023-08-25 11:00:00,3721.0,3720.2,3721.6,3720.2,123.0,137293020.0,175691.0
91,IF2309.CFX,2023-08-25 11:01:00,3720.4,3718.8,3720.4,3718.2,275.0,306830200.0,175655.0
92,IF2309.CFX,2023-08-25 11:02:00,3718.8,3717.4,3719.0,3717.2,231.0,257660640.0,175603.0
93,IF2309.CFX,2023-08-25 11:03:00,3717.4,3717.6,3720.2,3716.4,395.0,440631650.0,175609.0
94,IF2309.CFX,2023-08-25 11:04:00,3717.6,3719.0,3720.0,3717.4,102.0,113798340.0,175616.0
95,IF2309.CFX,2023-08-25 11:05:00,3719.0,3719.2,3720.8,3718.6,181.0,201991860.0,175656.0
96,IF2309.CFX,2023-08-25 11:06:00,3719.6,3720.8,3722.6,3719.6,214.0,238903920.0,175688.0
97,IF2309.CFX,2023-08-25 11:07:00,3721.0,3722.0,3722.0,3719.4,88.0,98219820.0,175690.0
98,IF2309.CFX,2023-08-25 11:08:00,3722.0,3719.8,3723.2,3719.6,163.0,181995840.0,175703.0
99,IF2309.CFX,2023-08-25 11:09:00,3719.6,3718.0,3719.8,3718.0,136.0,151727340.0,175719.0
100,IF2309.CFX,2023-08-25 11:10:00,3718.0,3718.6,3720.4,3717.6,126.0,140580240.0,175741.0
101,IF2309.CFX,2023-08-25 11:11:00,3718.6,3720.6,3721.0,3717.8,104.0,116048820.0,175744.0
102,IF2309.CFX,2023-08-25 11:12:00,3720.8,3724.8,3724.8,3720.4,314.0,350712130.0,175662.0
103,IF2309.CFX,2023-08-25 11:13:00,3724.6,3724.0,3726.4,3723.4,320.0,357593470.0,175601.0
104,IF2309.CFX,2023-08-25 11:14:00,3724.0,3721.6,3724.0,3720.6,218.0,243432300.0,175550.0
105,IF2309.CFX,2023-08-25 11:15:00,3722.0,3720.4,3722.0,3719.6,205.0,228821220.0,175523.0
106,IF2309.CFX,2023-08-25 11:16:00,3720.8,3718.6,3721.8,3718.6,160.0,178564670.0,175512.0
107,IF2309.CFX,2023-08-25 11:17:00,3718.6,3718.2,3719.8,3718.2,143.0,159536400.0,175516.0
108,IF2309.CFX,2023-08-25 11:18:00,3718.2,3717.6,3718.6,3717.2,134.0,149459700.0,175490.0
109,IF2309.CFX,2023-08-25 11:19:00,3717.6,3716.4,3718.4,3716.2,213.0,237530400.0,175479.0
110,IF2309.CFX,2023-08-25 11:20:00,3717.0,3713.2,3717.0,3713.2,490.0,546036600.0,175424.0
111,IF2309.CFX,2023-08-25 11:21:00,3713.2,3715.6,3716.0,3713.0,358.0,398935200.0,175363.0
112,IF2309.CFX,2023-08-25 11:22:00,3715.8,3714.2,3716.4,3714.2,197.0,219563580.0,175352.0
113,IF2309.CFX,2023-08-25 11:23:00,3714.4,3714.6,3716.6,3714.2,145.0,161603040.0,175310.0
114,IF2309.CFX,2023-08-25 11:24:00,3714.6,3715.6,3715.8,3714.0,113.0,125939640.0,175268.0
115,IF2309.CFX,2023-08-25 11:25:00,3715.6,3716.0,3716.6,3714.0,126.0,140428670.0,175253.0
116,IF2309.CFX,2023-08-25 11:26:00,3716.0,3717.8,3718.0,3716.0,153.0,170622060.0,175234.0
117,IF2309.CFX,2023-08-25 11:27:00,3717.8,3718.0,3718.2,3716.6,127.0,141639970.0,175214.0
118,IF2309.CFX,2023-08-25 11:28:00,3718.0,3718.6,3719.0,3717.2,120.0,133859880.0,175197.0
119,IF2309.CFX,2023-08-25 11:29:00,3718.8,3717.8,3719.2,3717.4,91.0,101507580.0,175166.0
